"ModelReleaseYear","Make","ModelReleaseVersion","Model","Variant","EngineDisplacement","EngineConfiguration","EngineInduction","FwdGearsNo","TransmissionTypeDescription","SideDoorNo","SeatingCapacity","BodyStyle","DrivingWheelsNo","FuelType","CO2EmissionsCombined","CO2EmissionsUrban","CO2EmissionsExtraUrban","FuelConsumptionCombined","FuelConsumptionUrban","FuelConsumptionExtraUrban","EnergyConsumptionWhkm","ElectricRangeKm","AirPollutionStandard","StationaryNoiseData","TestSpeed","IsCurrentModel","ModelEndYear","FuelLifeCycleCO2","AnnualTailpipeCO2","AnnualFuelCost"
"2019","BMW","I01","i3","i3 REX 120 Ah","0.6","Electric","Normal","1","Other","4","4","Sedan","2","Plug-in Electric/Petrol 95RON","13","130","3","0.6","5.7","0.2","129","290","Euro 6","78","2800","Yes","0","119","0.18","693"
"2018","BMW","","I01","i3 REX 94 Ah","0.6","Electric","Normal","1","Other","4","4","Sedan","2","Plug-in Electric/Petrol 95RON","14","128","1","0.6","5.7","0.1","119","225","Euro 6","78","2800","Yes","0","111","0.2","651"
"2019","BMW","I01","i3","i3s REX 120 Ah","0.6","Electric","Normal","1","Other","4","4","Sedan","2","Plug-in Electric/Petrol 95RON","14","135","3","0.7","5.9","0.2","130","285","Euro 6","78","2800","Yes","0","122","0.2","722"
"2018","BMW","","I01","i3s REX 94 Ah","0.6","Electric","Normal","1","Other","4","4","Sedan","2","Plug-in Electric/Petrol 95RON","15","128","2","0.7","5.6","0.1","125","220","Euro 6","78","2800","Yes","0","118","0.21","701"
"2021","Lexus","","NX 450h+","","2.5","4cyl","Normal","1","CVT","4","5","Wagon","4","Plug-in Electric/Petrol 95RON","29","","","1.3","","","140","87","Euro 6","69","2500","Yes","0","145","0.41","916"
"2020","Ford","MY22","Escape","ST-Line","2.5","4cyl","Normal","1","CVT","4","5","SUV","2","Plug-in Electric/Petrol 95RON","33","","","1.5","","","147","69","Euro 5","74","3500","Yes","0","156","0.46","995"
"2023","Peugeot","","308","GT Sport PHEV Hatch","1.6","4cyl","Turbo","8","Auto","4","5","Hatch","2","Plug-in Electric/Petrol 95RON","33","","","1.4","","","207","60","Euro 6","75","3750","Yes","0","202","0.46","1222"
"2021","Mercedes-Benz","177","A Class","A250e ","1.3","4cyl","Turbo","9","Auto","4","5","Hatch","2","Plug-in Electric/Petrol 95RON","34","","","1.6","","","162","73","Euro 6","81","3750","Yes","0","170","0.48","1084"
"2021","Mercedes-Benz","177","A Class","A250e ","1.3","4cyl","Turbo","9","Auto","4","5","Sedan","2","Plug-in Electric/Petrol 95RON","34","","","1.6","","","163","73","Euro 6","81","3750","Yes","0","171","0.48","1088"
"2016","Audi","","A3 Sportback","e-tron 16 Inch Wheel","1.4","4cyl","Turbo","6","Auto","4","5","Hatch","2","Plug-in Electric/Petrol 95RON","35","","104","1.6","","4.6","124","49","Euro 6","78","3750","Yes","0","140","0.49","924"
"2021","Peugeot","","3008","GT SPORT HYBRID AWD","1.6","4cyl","Turbo","8","Auto","4","5","SUV","2","Plug-in Electric/Petrol 95RON","36","","","1.6","","","229","50","Euro 6","65","1850","Yes","0","225","0.5","1365"
"2022","Volvo","","XC60","T8 Recharge","2","4cyl","Turbo","8","Auto","4","5","SUV","4","Plug-in Electric/Petrol 95RON","37","","156","1.6","","6.8","262","81","Euro 6","72","3750","Yes","0","251","0.52","1504"
"2022","Land Rover","L461 Range Rover L1","Range Rover Sport","P440e","3","6cyl","Turbo","8","Auto","4","5","SUV","4","Plug-in Electric/Petrol 95RON","37","","222","1.6","","9.8","256","125","Euro 5","79","3750","Yes","0","246","0.52","1478"
"2022","Land Rover","L461 Range Rover L1","Range Rover Sport","P510e","3","6cyl","Turbo","8","Auto","4","5","SUV","4","Plug-in Electric/Petrol 95RON","37","","222","1.6","","9.8","256","125","Euro 5","79","3750","Yes","0","246","0.52","1478"
"2022","Land Rover","L460","Range Rover","P440e SWB 5 Seater","3","6cyl","Turbo","8","Auto","4","5","Wagon","4","Plug-in Electric/Petrol 95RON","37","","222","1.6","","9.8","256","125","Euro 5","80","3750","Yes","0","246","0.52","1478"
"2022","Land Rover","L460","Range Rover","P510e SWB 5 Seater","3","6cyl","Turbo","8","Auto","4","5","Wagon","4","Plug-in Electric/Petrol 95RON","37","","222","1.6","","9.8","256","125","Euro 5","80","3750","Yes","0","246","0.52","1478"
"2021","MG","","HS","PHEV","1.5","4cyl","Turbo","6","Auto","4","5","SUV","2","Plug-in Electric/Petrol 95RON","39","","","1.7","","","192","63","Euro 5","74","3750","Yes","0","197","0.55","1235"
"2016","Audi","","A3 Sportback","e-tron 17 Inch Wheel","1.4","4cyl","Turbo","6","Auto","4","5","Hatch","2","Plug-in Electric/Petrol 95RON","39","","110","1.7","","4.7","128","47","Euro 6","78","3750","Yes","0","145","0.55","966"
"2022","Cupra","MY22","Leon","VZE 180PHEV","1.4","4cyl","Turbo","6","Auto","4","5","Hatch","2","Plug-in Electric/Petrol 95RON","40","","","1.8","","","113","67","Euro 6","75","3750","Yes","0","136","0.56","928"
"2021","Peugeot","","508","GT HYBRID FASTBACK","1.6","4cyl","Turbo","8","Auto","4","5","Sedan","2","Plug-in Electric/Petrol 95RON","40","","","1.8","","","211","45","Euro 6","63","1850","Yes","2023","215","0.56","1340"
"2022","Volvo","","XC90","T8 Recharge","2","4cyl","Turbo","8","Auto","4","7","SUV","4","Plug-in Electric/Petrol 95RON","40","","164","1.8","","7.2","267","77","Euro 6","71","3750","Yes","0","260","0.56","1575"
"2016","Audi","","A3 Sportback","e-tron 18 Inch Wheel","1.4","4cyl","Turbo","6","Auto","4","5","Hatch","2","Plug-in Electric/Petrol 95RON","41","","116","1.8","","4.9","134","46","Euro 6","78","3750","Yes","0","153","0.57","1016"
"2022","Cupra","MY22","Formentor","VZE 180 PHEV","1.4","4cyl","Turbo","6","Auto","4","5","SUV","2","Plug-in Electric/Petrol 95RON","43","","","1.9","","","141","58","Euro 6","72","3750","Yes","0","161","0.6","1071"
"2019","BMW","G11","7 Series","745e","2","4cyl","Turbo","8","Auto","4","5","Sedan","2","Plug-in Electric/Petrol 95RON","46","","179","2.4","","7.5","175","52","Euro 6","78","3750","Yes","0","200","0.64","1340"
"2022","Land Rover","L551","Range Rover Evoque","P300e Auto 230kW PHEV","1.5","3cyl","Turbo","9","Auto","4","5","Wagon","4","Plug-in Electric/Petrol 95RON","48","","176","2.1","","7.7","186","66","Euro 6","68","3750","Yes","0","202","0.67","1310"
"2022","Land Rover","LZ","Range Rover Evoque","P300e AWD Auto Electric Hybrid","1.5","3cyl","Turbo","9","Auto","4","5","SUV","4","Plug-in Electric/Petrol 95RON","48","","176","2.1","","7.7","186","66","Euro 5","68","3750","Yes","0","202","0.67","1310"
"2016","Volvo","","XC90","T8","2","4cyl","Supercharged","8","Auto","4","7","SUV","4","Plug-in Electric/Petrol 95RON","49","","134","2.1","","5.8","182","43","Euro 6","76","3750","No","2022","199","0.69","1294"
"2014","BMW","","I08","i8","1.5","3cyl","Turbo","6","Auto","2","4","Coupe","2","Plug-in Electric/Petrol 95RON","49","121","","2.1","5.2","","119","37","Euro 5","99.00","3750","Yes","0","148","0.69","1029"
