Country,car sales
China,"21,482,374"
United States,"14,947,180"
Japan,"4,448,376"
India,"3,082,974"
Germany,"2,637,341"
Brazil,"1,974,538"
South Korea,"1,712,894"
Russia,"1,667,135"
France,"1,659,386"
United Kingdom,"1,647,232"
Canada,"1,638,532"
Italy,"1,458,235"
Australia,"1,049,831"
Mexico,"1,014,723"
Indonesia,"887,196"
Iran,"876,435"
Spain,"859,524"
Turkey,"737,359"
Thailand,"734,389"
Saudi Arabia,"586,749"
Poland,"520,573"
South Africa,"464,183"
Belgium,"383,566"
Argentina,"381,846"
Netherlands,"322,789"
Norway,"217,572"
Sweden,"301,006"
Singapore,"45,442"
