Date,Vehicle body type,Motive power,Count
1/07/2015,AMBULANCE,Diesel,1
1/07/2015,AMBULANCE,Diesel,33
1/07/2015,ARMOURED VEHICLE,Diesel,1
1/07/2015,ARMOURED VEHICLE,Diesel,4
1/07/2015,ARMOURED VEHICLE,Diesel,8
1/07/2015,ARTICULATED BUS,Diesel,35
1/07/2015,BACKHOE,Diesel,15
1/07/2015,BACKHOE,Diesel,3
1/07/2015,BACKHOE,Diesel,6
1/07/2015,BIKE TRAILER,,12
1/07/2015,BIKE TRAILER,,301
1/07/2015,BIN CARRIER,,5
1/07/2015,BIN CARRIER,Diesel,1
1/07/2015,BIN CARRIER,Diesel,2
1/07/2015,BIN CARRIER,Diesel,42
1/07/2015,BIN CARRIER,Diesel,5
1/07/2015,BOAT TRAILER,,180
1/07/2015,BOAT TRAILER,,5056
1/07/2015,BONNET PRIME MOVER,Diesel,23
1/07/2015,BONNET PRIME MOVER,Diesel,55
1/07/2015,CAB OVER PRIME MOVER,Diesel,16
1/07/2015,CAB OVER PRIME MOVER,Diesel,52
1/07/2015,CAMPER,Diesel,1
1/07/2015,CAMPER,Diesel,22
1/07/2015,CAMPER,Diesel,220
1/07/2015,CAMPER,Diesel,3
1/07/2015,CAMPER,Diesel Or Lpg Option,1
1/07/2015,CAMPER,LPG,2
1/07/2015,CAMPER,Petrol,1
1/07/2015,CAMPER,Petrol,137
1/07/2015,CAMPER,Petrol,2
1/07/2015,CAMPER,Petrol,8
1/07/2015,CAMPER,Petrol Or Lpg Option,10
1/07/2015,CAMPER TRAILER,,10
1/07/2015,CAMPER TRAILER,,1310
1/07/2015,CAR CARRIER,,1
1/07/2015,CAR CARRIER,,11
1/07/2015,CAR CARRIER,Diesel,1
1/07/2015,CAR TRAILER,,652
1/07/2015,CAR TRAILER,,83
1/07/2015,CARAVAN,,139
1/07/2015,CARAVAN,,2522
1/07/2015,CONCRETE BLENDER,Diesel,1
1/07/2015,CONCRETE BLENDER,Diesel,11
1/07/2015,CONCRETE BLENDER,Diesel,60
1/07/2015,CONCRETE BLENDER,Petrol,1
