Model,Wh/km
Lightyear 0,"109
"
Hyundai IONIQ 6 Standard Range 2WD,"150
"
Tesla Model 3,"151
"
Dacia Spring Electric 45,"152
"
Tesla Model 3 Long Range Dual Motor,"155
"
Hyundai IONIQ 6 Long Range 2WD,"156
"
Dacia Spring Electric 65 Extreme,"156
"
Hyundai Kona Electric 39 kWh,"157
"
Lucid Air Pure,"157
"
Volkswagen e-Up!,"158
"
Fiat 500e Hatchback 24 kWh,"158
"
Fiat 500e 3+1 24 kWh,"158
"
Fiat 500e Cabrio 24 kWh,"158
"
Peugeot e-208,"158
"
Opel Corsa-e,"158
"
Fiat 500e Hatchback 42 kWh,"159
"
Fiat 500e 3+1 42 kWh,"159
"
Renault Megane E-Tech EV40 130hp,"160
"
Lucid Air Touring,"160
"
Mini Cooper SE,"161
"
Hyundai Kona Electric 64 kWh,"162
"
Fiat 500e Cabrio 42 kWh,"162
"
Tesla Model 3 Performance,"163
"
CUPRA Born 110 kW - 45 kWh,"164
"
Volkswagen ID.3 Pure Performance,"164
"
Renault Twingo Electric,"164
"
Opel Astra Electric,"164
"
Renault Megane E-Tech EV60 130hp,"164
"
Peugeot e-308,"165
"
Renault Zoe ZE50 R110,"165
"
CUPRA Born 150 kW - 58 kWh,"166
"
Volkswagen ID.3 Pro,"166
"
Volkswagen ID.3 Pro Performance,"166
"
Abarth 500e Scorpionissima,"166
"
Nissan Leaf,"166
"
Tesla Model S Dual Motor,"167
"
Tesla Model Y,"167
"
Renault Megane E-Tech EV60 220hp,"167
"
Smart EQ fortwo coupe,"167
"
BMW i4 eDrive35,"168
"
Honda e Advance,"168
"
Renault Zoe ZE50 R135,"168
"
CUPRA Born 170 kW - 58 kWh,"168
"
Hyundai IONIQ 6 Long Range AWD,"168
"
Lucid Air Grand Touring,"168
"
Mercedes EQS 450+,"168
"
MG MG4 Electric 64 kWh,"169
"
Opel Astra Sports Tourer Electric,"169
"
MG MG4 Electric 51 kWh,"169
"
DS 3 E-Tense,"169
"
Citroen e-C4,"170
"
Citroen e-C4 X,"170
"
Peugeot e-308 SW,"170
"
Kia e-Soul 39.2 kWh,"170
"
Kia Niro EV,"171
"
CUPRA Born 170 kW - 77 kWh,"171
"
Volkswagen ID.3 Pro S - 4 Seats,"171
"
Volkswagen ID.3 Pro S - 5 Seats,"171
"
Aiways U6,"171
"
BMW i4 eDrive40,"172
"
Jeep Avenger 1st Edition,"172
"
Lucid Air Dream Edition R,"172
"
Tesla Model Y Long Range Dual Motor,"172
"
Mercedes EQE 350+,"173
"
Tesla Model S Plaid,"173
"
Mercedes EQE 300,"173
"
Mercedes EQE 350,"173
"
Kia e-Soul 64 kWh,"173
"
Skoda Enyaq Coupe iV 80,"173
"
Skoda Enyaq Coupe iV 60,"173
"
Porsche Taycan,"173
"
JAC iEV7s,"173
"
Nissan Leaf e+,"174
"
ORA Funky Cat 63 kWh,"174
"
ORA Funky Cat 48 kWh,"175
"
Mercedes EQS 450 4MATIC,"175
"
MG MG5 Electric Long Range,"175
"
Skoda Enyaq iV 60,"176
"
Smart EQ fortwo cabrio,"176
"
Porsche Taycan Plus,"176
"
NIO ET7 75 kWh,"176
"
Audi Q4 Sportback e-tron 35,"176
"
Peugeot e-2008 SUV,"176
"
Opel Mokka-e,"176
"
Mazda MX-30,"176
"
MG MG5 Electric Standard Range,"177
"
Kia EV6 Standard Range 2WD,"177
"
Mercedes EQS 500 4MATIC,"178
"
Mercedes EQS 580 4MATIC,"178
"
NIO ET7 100 kWh,"178
"
NIO ET5 75 kWh,"178
"
BYD HAN,"178
"
Polestar 2 Long Range Single Motor,"179
"
