Month,Price (cent/unit),Supply Charge (cent per Day)
Jan-23,27.3277,97.9714
Dec-22,27.3277,97.9714
Nov-22,27.3277,97.9714
Oct-22,27.3277,97.9714
Sep-22,27.3277,97.9714
Aug-22,27.3277,97.9714
Jul-22,27.3277,97.9714
Jun-22,27.3277,97.9714
May-22,27.3277,97.9714
Apr-22,27.3277,97.9714
Mar-22,27.3277,97.9714
Feb-22,27.3277,97.9714
Jan-22,27.3277,97.9714
Dec-21,27.3277,97.9714
Nov-21,27.3277,97.9714
Oct-21,27.3277,97.9714
Sep-21,27.3277,97.9714
Aug-21,27.3277,97.9714
Jul-21,27.3277,97.9714
Jun-21,27.3277,97.9714
May-21,27.3277,97.9714
Apr-21,27.3277,97.9714
Mar-21,26.2026,93.93
Feb-21,26.2026,93.93
Jan-21,26.2026,93.93
Dec-20,26.2026,93.93
Nov-20,26.2026,93.93
Oct-20,26.2026,93.93
Sep-20,26.2026,93.93
Aug-20,26.2026,93.93
Jul-20,26.2026,93.93
Jun-20,26.2026,93.93
May-20,26.2026,93.93
Apr-20,26.2026,93.93
Mar-20,26.2026,93.93
Feb-20,26.2026,93.93
Jan-20,26.2026,93.93
Dec-19,26.2026,93.93
Nov-19,26.2026,93.93
Oct-19,26.2026,93.93
Sep-19,26.2026,93.93
Aug-19,26.2026,93.93
Jul-19,25.752,92.3175
Jun-19,25.752,92.3175
May-19,25.752,92.3175
Apr-19,25.752,92.3175
Mar-19,25.752,92.3175
Feb-19,25.752,92.3175
Jan-19,25.752,92.3175
Dec-18,25.752,92.3175
Nov-18,25.752,92.3175
Oct-18,25.752,92.3175
Sep-18,25.752,92.3175
Aug-18,25.752,92.3175
Jul-18,25.752,92.3175
Jun-18,25.752,92.3175
May-18,25.752,92.3175
Apr-18,25.752,92.3175
Mar-18,25.752,92.3175
Feb-18,25.752,92.3175
Jan-18,25.752,92.3175
Dec-17,25.752,92.3175
Nov-17,25.752,92.3175
Oct-17,25.752,92.3175
Sep-17,24.0673,86.278
Aug-17,24.0673,86.278
Jul-17,24.0673,86.278
Jun-17,24.0673,86.278
May-17,24.0673,86.278
Apr-17,24.0673,86.278
Mar-17,24.0673,86.278
Feb-17,24.0673,86.278
Jan-17,24.0673,86.278
Dec-16,24.0673,86.278
Nov-16,23.3663,44.2808
Oct-16,23.3663,44.2808
Sep-16,23.3663,44.2808
Aug-16,23.3663,44.2808
Jul-16,23.3663,44.2808
Jun-16,23.3663,44.2808
May-16,23.3663,44.2808
Apr-16,23.3663,44.2808
Mar-16,23.3663,44.2808
Feb-16,23.3663,44.2808
Jan-16,23.3663,44.2808
Dec-15,23.3663,44.2808
Nov-15,23.3663,44.2808
Oct-15,23.3663,44.2808
Sep-15,23.3663,44.2808
Aug-15,22.0824,42.894
Jul-15,22.0824,42.894
Jun-15,22.0824,42.894
May-15,22.0824,42.894
Apr-15,22.0824,42.894
Mar-15,22.0824,42.894
Feb-15,22.0824,42.894
Jan-15,22.0824,42.894
Dec-14,22.0824,42.894
Nov-14,22.0824,42.894
Oct-14,22.0824,42.894
Sep-14,22.0824,42.894
Aug-14,22.0824,42.894
Jul-14,21.3285,40.3485
Jun-14,21.3285,40.3485
May-14,21.3285,40.3485
Apr-14,21.3285,40.3485
Mar-14,21.3285,40.3485
Feb-14,21.3285,40.3485
Jan-14,21.3285,40.3485
