Models,Fuel Unit - Conventional Fuel,Fuel Usage Desc - Conventional Fuel,City FE (Guide) - Conventional Fuel,Hwy FE (Guide) - Conventional Fuel,Comb FE (Guide) - Conventional Fuel
2023.0_Volkswagen Group of_Audi_e-tron GT,MPG,Electricity,81.0,83.0,82.0
2023.0_Volkswagen Group of_Audi_RS e-tron GT,MPG,Electricity,79.0,82.0,81.0
2023.0_Volkswagen Group of_Audi_Q4 e-tron,MPG,Electricity,112.0,94.0,103.0
2023.0_Volkswagen Group of_Audi_e-tron quattro,MPG,Electricity,78.0,79.0,79.0
2023.0_Volkswagen Group of_Audi_e-tron S (20in. wheels),MPG,Electricity,72.0,75.0,73.0
2023.0_Volkswagen Group of_Audi_e-tron S Sportback (20 wheels),MPG,Electricity,73.0,78.0,75.0
2023.0_Volkswagen Group of_Audi_e-tron Sportback quattro,MPG,Electricity,77.0,80.0,78.0
2023.0_Volkswagen Group of_Audi_Q4 e-tron quattro,MPG,Electricity,97.0,87.0,93.0
2023.0_Volkswagen Group of_Audi_Q4 e-tron Sportback,MPG,Electricity,100.0,89.0,95.0
2023.0_BMW_BMW_i4 M50 Gran Coupe (19'' Wheels),MPG,Electricity,94.0,98.0,96.0
2023.0_BMW_BMW_i4 M50 Gran Coupe (20'' Wheels),MPG,Electricity,79.0,80.0,80.0
2023.0_BMW_BMW_i4 eDrive40 Gran Coupe (18'' Wheels),MPG,Electricity,109.0,108.0,109.0
2023.0_BMW_BMW_i7 xDrive60 Sedan (19'' Wheels),MPG,Electricity,87.0,92.0,89.0
2023.0_BMW_BMW_i7 xDrive60 Sedan (20'' Wheels),MPG,Electricity,81.0,85.0,83.0
2023.0_BMW_BMW_i7 xDrive60 Sedan (21'' Wheels),MPG,Electricity,85.0,89.0,87.0
2023.0_BMW_BMW_iX xDrive50 (20'' Wheels),MPG,Electricity,86.0,87.0,86.0
2023.0_BMW_BMW_iX xDrive50 (21'' Wheels),MPG,Electricity,82.0,84.0,83.0
