Model Year,Division,Carline,Fuel Usage Desc - Conventional Fuel,Fuel Unit - Conventional Fuel,Fuel Unit Desc - Conventional Fuel,City FE (Guide) - Conventional Fuel,Hwy FE (Guide) - Conventional Fuel,Comb FE (Guide) - Conventional Fuel,City Unadj FE - Conventional Fuel,Hwy Unadj FE - Conventional Fuel,Comb Unadj FE - Conventional Fuel
2023,Aston Martin Lagonda Ltd,V12 Vantage,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,14,22,16,16.7694,30.2959,20.9858
2023,Aston Martin Lagonda Ltd,Vantage V8,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,18,24,20,22.5379,34.2945,26.6489
2023,Audi,R8 Coupe quattro,Gasoline (Premium Unleaded Required),MPG,miles per gallon,13,18,15,15.7331,24.8001,18.8312
2023,Audi,R8 Coupe RWD,Gasoline (Premium Unleaded Required),MPG,miles per gallon,14,23,17,16.8667,29.2427,20.8346
2023,Audi,R8 GT RWD,Gasoline (Premium Unleaded Required),MPG,miles per gallon,14,21,17,18.3,29.5,22.0707
2023,Audi,R8 Spyder quattro,Gasoline (Premium Unleaded Required),MPG,miles per gallon,13,18,15,15.7331,24.8001,18.8312
2023,Audi,R8 Spyder RWD,Gasoline (Premium Unleaded Required),MPG,miles per gallon,14,23,17,16.8667,29.2427,20.8346
2023,Audi,TT Roadster,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,23,30,25,28.3551,41.888,33.1787
2023,BMW,Z4 M40i,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,23,31,26,29,45.1,34.5503
2023,BMW,Z4 sDrive30i,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,25,33,28,32.3,47.6,37.762
2023,Bugatti,Chiron,Gasoline (Premium Unleaded Required),MPG,miles per gallon,9,14,11,10.4,18.2,12.885
2023,Bugatti,Chiron Pur Sport,Gasoline (Premium Unleaded Required),MPG,miles per gallon,8,11,9,9.3,15.1,11.2434
2023,Bugatti,Chiron Super Sport,Gasoline (Premium Unleaded Required),MPG,miles per gallon,8,11,9,9.3,15.1,11.2434
2023,Chevrolet,CORVETTE,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,16,24,19,19.1153,34.4882,23.9116
2023,Chevrolet,CORVETTE Z06,Gasoline (Premium Unleaded Required),MPG,miles per gallon,12,21,15,14.3,25.4,17.8005
2023,Chevrolet,CORVETTE Z06 CARBON AERO,Gasoline (Premium Unleaded Required),MPG,miles per gallon,12,19,14,13.8,23.5,16.948
2023,"Ferrari North America, Inc.",812 Competizione,Gasoline (Premium Unleaded Required),MPG,miles per gallon,12,16,14,14.8905,21.3415,17.2348
2023,"Ferrari North America, Inc.",812 Competizione A,Gasoline (Premium Unleaded Required),MPG,miles per gallon,12,16,14,14.811,21.9115,17.3395
2023,"Ferrari North America, Inc.",812 GTS,Gasoline (Premium Unleaded Required),MPG,miles per gallon,12,15,13,14.6801,20.6973,16.8897
2023,"Ferrari North America, Inc.",F8 Spider,Gasoline (Premium Unleaded Required),MPG,miles per gallon,15,18,16,17.9004,24.9197,20.4987
2023,"Ferrari North America, Inc.",F8 Tributo,Gasoline (Premium Unleaded Required),MPG,miles per gallon,15,19,16,18.0066,26.2996,20.9842
2023,"Ferrari North America, Inc.",Ferrari Daytona SP3,Gasoline (Premium Unleaded Required),MPG,miles per gallon,12,16,13,14.4454,21.653,16.9904
2023,"Ferrari North America, Inc.",Ferrari Monza SP1,Gasoline (Premium Unleaded Required),MPG,miles per gallon,12,15,13,14.93,20.6897,17.0682
2023,"Ferrari North America, Inc.",Ferrari Monza SP2,Gasoline (Premium Unleaded Required),MPG,miles per gallon,12,15,13,14.93,20.6897,17.0682
2023,Jaguar,F-TYPE P450 AWD R-Dynamic Conv,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,16,24,18,19.2287,33.7286,23.8409
2023,Jaguar,F-TYPE P450 AWD R-Dynamic Coupe,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,16,24,18,19.2287,33.7286,23.8409
2023,Jaguar,F-TYPE P450 RWD Convertible,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,17,24,19,20.7335,34.0972,25.1733
2023,Jaguar,F-TYPE P450 RWD Coupe,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,17,24,19,20.7335,34.0972,25.1733
2023,Jaguar,F-TYPE R AWD Convertible,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,16,24,18,19.2287,33.7286,23.8409
2023,Jaguar,F-TYPE R AWD Coupe,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,16,24,18,19.2287,33.7286,23.8409
2023,Lamborghini,Huracan Coupe,Gasoline (Premium Unleaded Required),MPG,miles per gallon,13,18,15,16.0755,23.8142,18.8289
2023,Lamborghini,Huracan Coupe 2WD,Gasoline (Premium Unleaded Required),MPG,miles per gallon,13,18,15,16.0932,23.7934,18.8364
2023,Lamborghini,Huracan Spyder,Gasoline (Premium Unleaded Required),MPG,miles per gallon,13,18,15,16.0755,23.8142,18.8289
2023,Lamborghini,Huracan Spyder 2WD,Gasoline (Premium Unleaded Required),MPG,miles per gallon,13,18,15,16.0932,23.7934,18.8364
2023,MASERATI,MC20,Gasoline (Premium Unleaded Required),MPG,miles per gallon,15,25,18,18.3106,31.9272,22.6594
2023,MASERATI,MC20 Spyder,Gasoline (Premium Unleaded Required),MPG,miles per gallon,15,25,18,18.1829,31.8508,22.5344
2023,MAZDA,MX-5,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,26,35,30,34.1,51.8,40.2961
2023,MAZDA,MX-5,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,26,34,29,34,48.6,39.3148
2023,NISSAN,Z,Gasoline (Premium Unleaded Required),MPG,miles per gallon,19,28,22,25.1237,39.8745,30.1413
2023,NISSAN,Z,Gasoline (Premium Unleaded Required),MPG,miles per gallon,18,24,20,22.8,33.8482,26.7255
2023,Porsche,718 Boxster,Gasoline (Premium Unleaded Required),MPG,miles per gallon,21,27,24,27.2,38.3,31.2794
2023,Porsche,718 Boxster,Gasoline (Premium Unleaded Required),MPG,miles per gallon,20,25,22,24.8,34.7,28.453
2023,Porsche,718 Boxster GTS 4.0,Gasoline (Premium Unleaded Required),MPG,miles per gallon,19,24,21,24.1,33.8,27.6739
2023,Porsche,718 Boxster GTS 4.0,Gasoline (Premium Unleaded Required),MPG,miles per gallon,17,24,19,21,32.9,25.0826
2023,Porsche,718 Boxster S,Gasoline (Premium Unleaded Required),MPG,miles per gallon,19,25,22,24.2,35.9,28.3591
2023,Porsche,718 Boxster S,Gasoline (Premium Unleaded Required),MPG,miles per gallon,19,24,21,23.6,34.3,27.454
2023,Porsche,718 Boxster T,Gasoline (Premium Unleaded Required),MPG,miles per gallon,21,27,23,26.6,38.2,30.8102
2023,Porsche,718 Boxster T,Gasoline (Premium Unleaded Required),MPG,miles per gallon,20,26,22,25.4,37.2,29.6294
2023,Porsche,718 Cayman,Gasoline (Premium Unleaded Required),MPG,miles per gallon,21,27,24,27.2,38.3,31.2794
2023,Porsche,718 Cayman,Gasoline (Premium Unleaded Required),MPG,miles per gallon,20,25,22,24.8,34.7,28.453
2023,Porsche,718 Cayman GT4,Gasoline (Premium Unleaded Required),MPG,miles per gallon,18,24,20,22.7,33.2,26.4667
