Models,Fuel Usage Desc - Conventional Fuel,Fuel Unit - Conventional Fuel,Fuel Unit Desc - Conventional Fuel,City FE (Guide) - Conventional Fuel,Hwy FE (Guide) - Conventional Fuel,Comb FE (Guide) - Conventional Fuel
2023_Aston Martin Lagonda Ltd_V12 Vantage,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,14,22,16
2023_Aston Martin Lagonda Ltd_Vantage V8,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,18,24,20
2023_Audi_R8 Coupe quattro,Gasoline (Premium Unleaded Required),MPG,miles per gallon,13,18,15
2023_Audi_R8 Coupe RWD,Gasoline (Premium Unleaded Required),MPG,miles per gallon,14,23,17
2023_Audi_R8 GT RWD,Gasoline (Premium Unleaded Required),MPG,miles per gallon,14,21,17
2023_Audi_R8 Spyder quattro,Gasoline (Premium Unleaded Required),MPG,miles per gallon,13,18,15
2023_Audi_R8 Spyder RWD,Gasoline (Premium Unleaded Required),MPG,miles per gallon,14,23,17
2023_Audi_TT Roadster,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,23,30,25
2023_BMW_Z4 M40i,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,23,31,26
2023_BMW_Z4 sDrive30i,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,25,33,28
2023_Bugatti_Chiron,Gasoline (Premium Unleaded Required),MPG,miles per gallon,9,14,11
2023_Bugatti_Chiron Pur Sport,Gasoline (Premium Unleaded Required),MPG,miles per gallon,8,11,9
2023_Bugatti_Chiron Super Sport,Gasoline (Premium Unleaded Required),MPG,miles per gallon,8,11,9
2023_Chevrolet_CORVETTE,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,16,24,19
2023_Chevrolet_CORVETTE Z06,Gasoline (Premium Unleaded Required),MPG,miles per gallon,12,21,15
2023_Chevrolet_CORVETTE Z06 CARBON AERO,Gasoline (Premium Unleaded Required),MPG,miles per gallon,12,19,14
"2023_Ferrari North America, Inc._812 Competizione",Gasoline (Premium Unleaded Required),MPG,miles per gallon,12,16,14
"2023_Ferrari North America, Inc._812 Competizione A",Gasoline (Premium Unleaded Required),MPG,miles per gallon,12,16,14
"2023_Ferrari North America, Inc._812 GTS",Gasoline (Premium Unleaded Required),MPG,miles per gallon,12,15,13
"2023_Ferrari North America, Inc._F8 Spider",Gasoline (Premium Unleaded Required),MPG,miles per gallon,15,18,16
"2023_Ferrari North America, Inc._F8 Tributo",Gasoline (Premium Unleaded Required),MPG,miles per gallon,15,19,16
"2023_Ferrari North America, Inc._Ferrari Daytona SP3",Gasoline (Premium Unleaded Required),MPG,miles per gallon,12,16,13
"2023_Ferrari North America, Inc._Ferrari Monza SP1",Gasoline (Premium Unleaded Required),MPG,miles per gallon,12,15,13
"2023_Ferrari North America, Inc._Ferrari Monza SP2",Gasoline (Premium Unleaded Required),MPG,miles per gallon,12,15,13
2023_Jaguar_F-TYPE P450 AWD R-Dynamic Conv,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,16,24,18
2023_Jaguar_F-TYPE P450 AWD R-Dynamic Coupe,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,16,24,18
