Models,Fuel_usage,Fuel_unit,City_FE,Hwy_FE,Comb_FE
2023.0_Volkswagen Group of_Audi_e-tron GT,Electricity,MPG,81.0,83.0,82.0
2023.0_Volkswagen Group of_Audi_RS e-tron GT,Electricity,MPG,79.0,82.0,81.0
2023.0_Volkswagen Group of_Audi_Q4 e-tron,Electricity,MPG,112.0,94.0,103.0
2023.0_Volkswagen Group of_Audi_e-tron quattro,Electricity,MPG,78.0,79.0,79.0
2023.0_Volkswagen Group of_Audi_e-tron S (20in. wheels),Electricity,MPG,72.0,75.0,73.0
2023.0_Volkswagen Group of_Audi_e-tron S Sportback (20 wheels),Electricity,MPG,73.0,78.0,75.0
2023.0_Volkswagen Group of_Audi_e-tron Sportback quattro,Electricity,MPG,77.0,80.0,78.0
2023.0_Volkswagen Group of_Audi_Q4 e-tron quattro,Electricity,MPG,97.0,87.0,93.0
2023.0_Volkswagen Group of_Audi_Q4 e-tron Sportback,Electricity,MPG,100.0,89.0,95.0
2023.0_BMW_BMW_i4 M50 Gran Coupe (19'' Wheels),Electricity,MPG,94.0,98.0,96.0
2023.0_BMW_BMW_i4 M50 Gran Coupe (20'' Wheels),Electricity,MPG,79.0,80.0,80.0
2023.0_BMW_BMW_i4 eDrive40 Gran Coupe (18'' Wheels),Electricity,MPG,109.0,108.0,109.0
2023.0_BMW_BMW_i7 xDrive60 Sedan (19'' Wheels),Electricity,MPG,87.0,92.0,89.0
2023.0_BMW_BMW_i7 xDrive60 Sedan (20'' Wheels),Electricity,MPG,81.0,85.0,83.0
2023.0_BMW_BMW_i7 xDrive60 Sedan (21'' Wheels),Electricity,MPG,85.0,89.0,87.0
2023.0_BMW_BMW_iX xDrive50 (20'' Wheels),Electricity,MPG,86.0,87.0,86.0
2023.0_BMW_BMW_iX xDrive50 (21'' Wheels),Electricity,MPG,82.0,84.0,83.0
2023.0_BMW_BMW_iX xDrive50 (22'' Wheels),Electricity,MPG,86.0,85.0,86.0
"2023.0_BMW_BMW_iX M60 (21"" Wheels)",Electricity,MPG,76.0,80.0,77.0
"2023.0_BMW_BMW_iX M60 (22"" Wheels)",Electricity,MPG,77.0,80.0,78.0
2023.0_General Motors_Cadillac_LYRIQ,Electricity,MPG,97.0,82.0,89.0
2023.0_General Motors_Chevrolet_BOLT EUV,Electricity,MPG,125.0,104.0,115.0
2023.0_General Motors_Chevrolet_BOLT EV,Electricity,MPG,131.0,109.0,120.0
2023.0_Ford Motor Company_Ford_F150 LIGHTNING EXTENDED RNG 4WD,Electricity,MPG,78.0,63.0,70.0
2023.0_Ford Motor Company_Ford_F150 LIGHTNING PLATINUM 4WD,Electricity,MPG,73.0,60.0,66.0
2023.0_Ford Motor Company_Ford_F150 PICKUP LIGHTNING 4WD,Electricity,MPG,76.0,61.0,68.0
