station_ID,Charing station name,City,State,Address line 1,Address line 2,Lng,Lat,Category
0,Bell Resources,Sydney,New South Wales,Bell Resources,"88 Phillip Street, Sydney NSW 2000, Australia",151.2119085,-33.8648195,"['office', 'office.company', 'service', 'service.vehicle', 'service.vehicle.charging_station']"
1,NRMA Fast Charger,Picton,New South Wales,NRMA Fast Charger,"Walton Street, Picton NSW 2571, Australia",150.610947,-34.1683025,"['no_fee', 'no_fee.no', 'service', 'service.vehicle', 'service.vehicle.charging_station']"
2,Evie Seven Hills,Sydney,New South Wales,Evie Seven Hills,"Abbott Road, Seven Hills NSW 2147, Australia",150.9548236,-33.7671436,"['access', 'access.yes', 'fee', 'service', 'service.vehicle', 'service.vehicle.charging_station']"
3,Evie Networks,Sydney,New South Wales,Evie Networks,"The Crescent, Mosman NSW 2088, Australia",151.2414403,-33.8254745,"['service', 'service.vehicle', 'service.vehicle.charging_station']"
4,Rhodes Waterside,Sydney,New South Wales,Rhodes Waterside,"1 Rider Boulevard, Rhodes NSW 2138, Australia",151.0848349,-33.8359626,"['no_fee', 'no_fee.no', 'service', 'service.vehicle', 'service.vehicle.charging_station']"
5,Tesla Supercharger,Sydney,New South Wales,Tesla Supercharger,"Greek Street, Glebe NSW 2037, Australia",151.1946269,-33.8829291,"['service', 'service.vehicle', 'service.vehicle.charging_station']"
6,Tesla Mascot King Street,Sydney,New South Wales,Tesla Mascot King Street,"338 King Street, Mascot NSW 2020, Australia",151.186122,-33.9285142,"['service', 'service.vehicle', 'service.vehicle.charging_station']"
7,Tesla Supercharger,Central Coast Council,New South Wales,Tesla Supercharger,"Wyong Road, Tuggerah NSW 2259, Australia",151.420595,-33.3101932,"['service', 'service.vehicle', 'service.vehicle.charging_station']"
8,NRMA Fast Charger,Sydney,New South Wales,NRMA Fast Charger,"Murray Rose Avenue, Sydney Olympic Park NSW 2127, Australia",151.0698417,-33.8460153,"['access', 'access.yes', 'no_fee', 'no_fee.no', 'service', 'service.vehicle', 'service.vehicle.charging_station']"
9,Chargefox,Wollongong City Council,New South Wales,Chargefox,"The Avenue, Figtree NSW 2525, Australia",150.8633339,-34.436581,"['service', 'service.vehicle', 'service.vehicle.charging_station']"
10,Chargefox,Sydney,New South Wales,Chargefox,"4 Defries Avenue, Zetland NSW 2017, Australia",151.2129122,-33.9053712,"['service', 'service.vehicle', 'service.vehicle.charging_station']"
11,Chargefox,Sydney,New South Wales,Chargefox,"Station Street, Rooty Hill NSW 2766, Australia",150.8452155,-33.7708416,"['service', 'service.vehicle', 'service.vehicle.charging_station']"
12,Tesla Supercharger,Sydney,New South Wales,Tesla Supercharger,"197-201 Herring Road, Macquarie Park NSW 2113, Australia",151.1207792,-33.7781529,"['service', 'service.vehicle', 'service.vehicle.charging_station']"
13,"Bungan Street, Mona Vale",Sydney,New South Wales,"Bungan Street, Mona Vale","Bungan Street, Sydney NSW 2103, Australia",151.3031271,-33.6761424,"['access', 'access.yes', 'service', 'service.vehicle', 'service.vehicle.charging_station']"
14,Richmond Tavistock No. 3,Sydney,New South Wales,Richmond Tavistock No. 3,"Richmond Road, Homebush West NSW 2140, Australia",151.0644363,-33.8660864,"['access', 'access.yes', 'service', 'service.vehicle', 'service.vehicle.charging_station']"
15,ANZAC Wise,Sydney,New South Wales,ANZAC Wise,"Anzac Parade, Maroubra NSW 2035, Australia",151.2396953,-33.9435652,"['access', 'access.yes', 'service', 'service.vehicle', 'service.vehicle.charging_station']"
16,Goodwood St,Sydney,New South Wales,Goodwood Street,"Kensington NSW 2033, Australia",151.2241142,-33.9071444,"['access', 'access.yes', 'service', 'service.vehicle', 'service.vehicle.charging_station']"
17,Tesla Supercharger,Sydney,New South Wales,Tesla Supercharger,"Princes Highway, Kirrawee NSW 2232, Australia",151.0735387,-34.0325789,"['service', 'service.vehicle', 'service.vehicle.charging_station']"
18,Rhodes Central,Sydney,New South Wales,Rhodes Central,"Marquet Street, Rhodes NSW 2138, Australia",151.0860347,-33.8300902,"['access', 'access.yes', 'no_fee', 'no_fee.no', 'service', 'service.vehicle', 'service.vehicle.charging_station']"
19,Marina Square,Sydney,New South Wales,Marina Square,"Footbridge Boulevard, Wentworth Point NSW 2127, Australia",151.0790514,-33.8256295,"['access', 'access.yes', 'no_fee', 'no_fee.no', 'service', 'service.vehicle', 'service.vehicle.charging_station']"
20,Castle Towers,Sydney,New South Wales,Castle Towers,"6-14 Castle Street, Castle Hill NSW 2154, Australia",151.0065082,-33.7296798,"['access', 'access.yes', 'no_fee', 'no_fee.no', 'service', 'service.vehicle', 'service.vehicle.charging_station']"
21,Tesla Destination Charger,Sydney,New South Wales,Tesla Destination Charger,"Rosenthal Avenue, Lane Cove NSW 2066, Australia",151.1694068,-33.8130165,"['service', 'service.vehicle', 'service.vehicle.charging_station']"
22,Jetcharge,Sydney,New South Wales,Jetcharge,"Norwich Road, Rose Bay NSW 2029, Australia",151.2681007,-33.871695,"['fee', 'service', 'service.vehicle', 'service.vehicle.charging_station']"
23, ,Sydney,New South Wales,John Flak Avenue,"Kingswood NSW 2747, Australia",150.7291974,-33.7698741,"['access', 'access.yes', 'no_fee', 'no_fee.no', 'service', 'service.vehicle', 'service.vehicle.charging_station']"
24, ,Gosford,New South Wales,107 The Scenic Road,"Killcare Heights NSW 2257, Australia",151.3749048,-33.5212508,"['service', 'service.vehicle', 'service.vehicle.charging_station']"
25, ,Wollongong City Council,New South Wales,Unicentre Road,"Keiraville NSW 2500, Australia",150.8812518,-34.4075914,"['no_fee', 'no_fee.no', 'service', 'service.vehicle', 'service.vehicle.charging_station']"
26, ,Sydney,New South Wales,357-363 George Street,"Sydney NSW 2000, Australia",151.2063604,-33.8682863,"['no_fee', 'no_fee.no', 'service', 'service.vehicle', 'service.vehicle.charging_station']"
27, ,Sydney,New South Wales,Barbula Road,"Denham Court NSW 2565, Australia",150.8118548,-33.9760165,"['service', 'service.vehicle', 'service.vehicle.charging_station']"
28, ,Sydney,New South Wales,Barbula Road,"Denham Court NSW 2565, Australia",150.8118557,-33.9760436,"['service', 'service.vehicle', 'service.vehicle.charging_station']"
29,EVLink,Sydney,New South Wales,EVLink,"Anderson Street, Sydney NSW 2067, Australia",151.1833566,-33.7965055,"['service', 'service.vehicle', 'service.vehicle.charging_station']"
30, ,Sydney,New South Wales,1 Dalgal Way,"Forest Lodge NSW 2037, Australia",151.1778386,-33.8763052,"['access', 'access.yes', 'fee', 'service', 'service.vehicle', 'service.vehicle.charging_station']"
31, ,Sydney,New South Wales,Silver Street,"Randwick NSW 2031, Australia",151.2391178,-33.9138057,"['access', 'access.yes', 'no_fee', 'no_fee.no', 'service', 'service.vehicle', 'service.vehicle.charging_station']"
32, ,Sydney,New South Wales,Munda Street,"Randwick NSW 2031, Australia",151.2464722,-33.9306373,"['service', 'service.vehicle', 'service.vehicle.charging_station']"
33, ,Sydney,New South Wales,Queen Elizabeth Drive,"Bondi Beach NSW 2026, Australia",151.2762714,-33.8908025,"['service', 'service.vehicle', 'service.vehicle.charging_station']"
